评估时间: 2026-05-09 12:45:03
GT 文件夹: /home/yanghaotian/server_data/yanghaotian/data/ubc_frames/frame300
生成文件夹: /home/yanghaotian/server_data/yanghaotian/test/MusePose/output/image-20260509/1220-pose_guider-70800/res
------------------------------------------------------------
Image Name                     |     PSNR |     SSIM |    LPIPS
A1s1Xh4xEtS_frame300.png       |  17.2916 |   0.8703 |   0.1557
A1YNmKj0sCS_frame300.png       |  16.0403 |   0.8444 |   0.1924
A11unT+W2IS_frame300.png       |  14.9248 |   0.8386 |   0.1505
A1lIw0RlrnS_frame300.png       |  17.3198 |   0.8930 |   0.1386
A191LVe3AzS_frame300.png       |  15.7786 |   0.8477 |   0.1511
91IVZ9g5lGS_frame300.png       |  19.9158 |   0.8722 |   0.1944
A1+O5s8cUuS_frame300.png       |  11.9351 |   0.8457 |   0.2197
91hNaP-63aS_frame300.png       |  17.2129 |   0.8908 |   0.2130
91tZgBKfXRS_frame300.png       |  13.7802 |   0.8685 |   0.2060
91Un56FGzrS_frame300.png       |  13.2051 |   0.8593 |   0.1988
912mf320DtS_frame300.png       |  14.5770 |   0.8176 |   0.1703
91xMHzpdyIS_frame300.png       |  18.5856 |   0.8997 |   0.1292
A1BokHoyj1S_frame300.png       |  13.1901 |   0.8061 |   0.1745
91bxAN6BjAS_frame300.png       |  15.5066 |   0.8419 |   0.1340
91ffZ+VFIKS_frame300.png       |  16.9500 |   0.8301 |   0.1399
A1ETn-UX+MS_frame300.png       |  13.3309 |   0.7740 |   0.2965
91j9x55ormS_frame300.png       |  20.3372 |   0.9109 |   0.1556
91svRFuREKS_frame300.png       |  17.1992 |   0.8297 |   0.1319
A1E5EPKP+GS_frame300.png       |  17.8217 |   0.8958 |   0.1476
A1Er7goewxS_frame300.png       |  17.5523 |   0.8659 |   0.2000
------------------------------------------------------------
最终平均结果 (99 images):
Average PSNR  : 16.5414
Average SSIM  : 0.8649
Average LPIPS : 0.1659
------------------------------------------------------------
